Substance,CAS number,LTE (ppm),LTE (mg/m-3),STE (ppm),STE (mg/m-3)
Acetaldehyde,75-07-0,20,37,50,92
Acetic acid,64-19-7,10,25,20,50
Acetic anhydride,108-24-7,0.5,2.5,2,10
Acetone,67-64-1,500,1210,1500,3620
Acetonitrile,75-05-8,40,68,60,102
o-Acetylsalicylic acid,50-78-2,-,5,-,-
Acrylaldehyde (Acrolein),107-02-8,0.02,0.05,0.05,0.12
Acrylamide,79-06-1,-,0.1,-,-
Acrylic acid,,10,29,20*,59*
Acrylonitrile,107-13-1,2,4.4,-,-
Allyl alcohol,107-18-6,2,4.8,4,9.7
Aluminium alkyl compounds,,-,2,-,-
Aluminium metal inhalable dust,7429-90-5,-,10,-,-
Aluminium metal respirable dust,7429-90-5,-,4,-,-
Aluminium oxides inhalable dust,1344-28-1,-,10,-,-
Aluminium oxides respirable dust,1344-28-1,-,4,-,-
"Aluminium salts, soluble",,-,2,-,-
2-Aminoethanol,141-43-5,1,2.5,3,7.6
Amitrole,61-82-5,-,0.2,-,-
"Ammonia, anhydrous",7664-41-7,25,18,35,25
"Ammonium chloride, fume",12125-02-9,=-,10,-,20
Ammonium sulphamidate,7773-06-0,=-,10,-,20
Aniline,62-53-3,1,4,-,-
Antimony and compounds except stibine (as Sb),,-,0.5,-,-
r-Aramid respirable fibres,26125-61-1,0.5 fibres/ml,-,-,-
"Arsenic and arsenic compoundsexcept arsine (as As)",,-,0.1,-,-
Arsine,7784-42-1,0.05,0.16,-,-
"Asphalt, petroleum fumes",8052-42-4,-,5,-,10
Azodicarbonamide,123-77-3,-,1,-,3
"Barium compounds, soluble (as Ba)",,-,0.5,-,-
"Barium sulphateinhalable dustrespirable dust",7727-43-7,"--","104","--","--"
Benzene,71-43-2,1,3.25,-,-
Benzyl butyl phthalate,85-68-7,-,5,-,-
Benzyl chloride,100-44-7,0.5,2.6,1.5,7.9
"Beryllium and beryllium compounds(as Be)",,-,0.002,-,-
Bis(2-ethylhexyl) phthalate,117-81-7,-,5,-,10
Bis(chloromethyl) ether,542-88-1,0.001,0.005,-,-
Bisphenol A,80-05-7,-,2,-,-
Bornan-2-one,77-22-2,2,13,3,19
Boron tribromide,10294-33-4,-,-,1,10
Bromacil (ISO),314-40-9,1,11,2,22
Bromine,7726-95-6,0.1,0.66,0.2,1.3
Bromoethylene,593-60-2,1,4.4,-,-
Bromomethane,74-83-9,5,20,15,59
Butane,106-97-8,600,1450,750,1810
"But-2-yne-1,4-diol",110-65-6,-,0.5,-,-
"Buta-1,3-diene",106-99-0,1,2.2,-,-
Butan-1-ol,71-36-3,-,-,50,154
Butan-2-ol,78-92-2,100,308,150,462
"Butan-2-one(methyl ethyl ketone)",78-93-3,200,600,300,899
2-Butoxyethanol,111-76-2,25,123,50,246
2-(2-Butoxyethoxy) ethanol,112-34-5,10,67.5,15,101.2
2-Butoxyethyl acetate,112-07-2,20,133,50,332
n-Butyl acrylate,141-32-2,1,5,5,26
n-Butyl chloroformate,592-34-7,1,5.7,-,-
sec-Butyl acetate,105-46-4,200,966,250,1210
tert-Butyl acetate,540-88-5,200,966,250,1210
Butyl acetate,123-86-4,150,724,200,966
Butyl lactate,138-22-7,5,30,-,-
2-sec-Butylphenol,89-72-5,5,31,-,-
